GRID_ID,CATEGORIA,ANO,MES,CRIMES,HISTORICO_1,PREVISAO_IA
6guph9,motorista,2024.0,3.0,2,1.0,1.69
6guphd,motorista,2023.0,5.0,1,0.0,1.1
6guphd,motorista,2024.0,1.0,2,1.0,2.33
6guphd,motorista,2024.0,2.0,1,2.0,2.23
6guphd,motorista,2024.0,5.0,1,1.0,1.61
6guphe,motorista,2023.0,1.0,1,0.0,1.98
6guphe,motorista,2023.0,3.0,1,1.0,1.69
6guphe,motorista,2023.0,5.0,1,1.0,1.61
6guphf,motorista,2023.0,2.0,1,0.0,1.23
6guphf,motorista,2023.0,3.0,2,1.0,1.69
6guphf,motorista,2023.0,5.0,1,2.0,2.21
6guphf,motorista,2024.0,3.0,1,1.0,1.69
6guphf,motorista,2024.0,4.0,1,1.0,1.6
6guphg,motorista,2023.0,1.0,1,0.0,1.98
6guphg,motorista,2023.0,5.0,1,1.0,1.61
6guphg,motorista,2024.0,1.0,1,1.0,2.33
6guphk,motorista,2024.0,4.0,2,0.0,1.09
6guphk,motorista,2024.0,5.0,1,2.0,2.21
6guphm,motorista,2023.0,3.0,1,0.0,1.17
6guphm,motorista,2024.0,1.0,1,1.0,2.33
6guphm,motorista,2024.0,2.0,1,1.0,1.68
6guphm,motorista,2024.0,4.0,1,1.0,1.6
6guphq,motorista,2024.0,2.0,1,0.0,1.23
6guphq,motorista,2024.0,6.0,1,1.0,1.57
6guphs,motorista,2023.0,3.0,1,0.0,1.17
6guphs,motorista,2023.0,6.0,1,1.0,1.57
6guphs,motorista,2024.0,2.0,1,1.0,1.68
6guphs,motorista,2024.0,4.0,1,1.0,1.6
6guphs,motorista,2024.0,5.0,2,1.0,1.61
6gupht,motorista,2023.0,2.0,1,0.0,1.23
6gupht,motorista,2023.0,6.0,1,1.0,1.57
6guphv,motorista,2023.0,4.0,1,0.0,1.09
6guphv,motorista,2023.0,6.0,1,1.0,1.57
6guphv,motorista,2024.0,3.0,1,1.0,1.69
6guphv,motorista,2024.0,4.0,1,1.0,1.6
6guphw,motorista,2023.0,2.0,1,0.0,1.23
6guphx,motorista,2023.0,1.0,1,0.0,1.98
6guphx,motorista,2024.0,4.0,1,1.0,1.6
6gupj4,motorista,2023.0,6.0,1,0.0,1.07
6gupj5,motorista,2023.0,2.0,1,0.0,1.23
6gupj5,motorista,2023.0,4.0,1,1.0,1.6
6gupj5,motorista,2023.0,5.0,1,1.0,1.61
6gupjh,motorista,2024.0,2.0,1,0.0,1.23
6gupjh,motorista,2024.0,3.0,1,1.0,1.69
6gupjj,motorista,2023.0,2.0,1,0.0,1.23
6gupjn,motorista,2023.0,2.0,1,0.0,1.23
6gupjn,motorista,2024.0,1.0,1,1.0,2.33
6gupjn,motorista,2024.0,4.0,1,1.0,1.6
6guq35,motorista,2023.0,6.0,1,0.0,1.07
6guq35,motorista,2024.0,4.0,2,1.0,1.6
6guq36,motorista,2023.0,3.0,1,0.0,1.17
6guq36,motorista,2024.0,4.0,1,1.0,1.6
6guq3k,motorista,2024.0,3.0,1,0.0,1.17
6guq3m,motorista,2023.0,2.0,1,0.0,1.23
6guq3m,motorista,2024.0,1.0,1,1.0,2.33
6guq7g,motorista,2024.0,3.0,1,0.0,1.17
6guqhw,motorista,2024.0,4.0,1,0.0,1.09
6guqjd,motorista,2023.0,3.0,1,0.0,1.17
6guqjd,motorista,2023.0,4.0,1,1.0,1.6
6gurqj,motorista,2023.0,3.0,1,0.0,1.17
6gurqk,motorista,2024.0,3.0,1,0.0,1.17
6gusuy,motorista,2023.0,4.0,1,0.0,1.09
6gusuy,motorista,2024.0,1.0,1,1.0,2.33
6gusy6,motorista,2023.0,3.0,1,0.0,1.17
6gusy9,motorista,2024.0,5.0,1,0.0,1.1
6gusyc,motorista,2023.0,1.0,1,0.0,1.98
6gusyd,motorista,2023.0,1.0,1,0.0,1.98
6gut0c,motorista,2023.0,3.0,1,0.0,1.17
6gut0d,motorista,2023.0,4.0,1,0.0,1.09
6gut0f,motorista,2023.0,2.0,1,0.0,1.23
6gut0u,motorista,2023.0,1.0,1,0.0,1.98
6gut0u,motorista,2023.0,6.0,1,1.0,1.57
6gut0u,motorista,2024.0,4.0,1,1.0,1.6
6gut1h,motorista,2024.0,3.0,1,0.0,1.17
6gut1m,motorista,2022.0,12.0,1,0.0,1.02
6gut1m,motorista,2023.0,2.0,1,1.0,1.68
6gut1m,motorista,2024.0,4.0,1,1.0,1.6
6gut1m,motorista,2024.0,5.0,1,1.0,1.61
6gut1n,motorista,2023.0,5.0,1,0.0,1.1
6gut1n,motorista,2023.0,7.0,1,1.0,1.14
6gut1p,motorista,2023.0,4.0,1,0.0,1.09
6gut1q,motorista,2024.0,3.0,1,0.0,1.17
6gut1q,motorista,2024.0,4.0,1,1.0,1.6
6gut1r,motorista,2023.0,5.0,1,0.0,1.1
6gut1r,motorista,2023.0,6.0,1,1.0,1.57
6gut23,motorista,2024.0,4.0,1,0.0,1.09
6gut26,motorista,2023.0,4.0,1,0.0,1.09
6gut29,motorista,2024.0,3.0,1,0.0,1.17
6gut2c,motorista,2023.0,2.0,1,0.0,1.23
6gut2d,motorista,2023.0,4.0,1,0.0,1.09
6gut2d,motorista,2024.0,2.0,1,1.0,1.68
6gut2e,motorista,2024.0,6.0,1,0.0,1.07
6gut2z,motorista,2023.0,2.0,1,0.0,1.23
6gut30,motorista,2023.0,1.0,1,0.0,1.98
6gut30,motorista,2023.0,2.0,1,1.0,1.68
6gut30,motorista,2024.0,5.0,2,1.0,1.61
6gut31,motorista,2023.0,1.0,1,0.0,1.98
6gut31,motorista,2023.0,2.0,2,1.0,1.68
6gut31,motorista,2023.0,5.0,1,2.0,2.21
6gut31,motorista,2024.0,1.0,1,1.0,2.33
6gut31,motorista,2024.0,2.0,1,1.0,1.68
6gut31,motorista,2024.0,5.0,1,1.0,1.61
6gut32,motorista,2023.0,1.0,1,0.0,1.98
6gut32,motorista,2023.0,6.0,1,1.0,1.57
6gut32,motorista,2024.0,1.0,1,1.0,2.33
6gut32,motorista,2024.0,3.0,1,1.0,1.69
6gut32,motorista,2024.0,5.0,1,1.0,1.61
6gut33,motorista,2023.0,4.0,1,0.0,1.09
6gut33,motorista,2023.0,5.0,1,1.0,1.61
6gut33,motorista,2023.0,6.0,1,1.0,1.57
6gut34,motorista,2023.0,1.0,2,0.0,1.98
6gut35,motorista,2024.0,6.0,1,0.0,1.07
6gut36,motorista,2023.0,5.0,1,0.0,1.1
6gut39,motorista,2024.0,2.0,1,0.0,1.23
6gut39,motorista,2024.0,6.0,1,1.0,1.57
6gut3d,motorista,2024.0,6.0,1,0.0,1.07
6gut3h,motorista,2023.0,5.0,1,0.0,1.1
6gut3h,motorista,2024.0,4.0,1,1.0,1.6
6gut3s,motorista,2024.0,3.0,1,0.0,1.17
6gut3t,motorista,2024.0,2.0,1,0.0,1.23
6gut49,motorista,2023.0,2.0,1,0.0,1.23
6gut55,motorista,2023.0,2.0,1,0.0,1.23
6gut55,motorista,2023.0,4.0,1,1.0,1.6
